id,text,label
244,partner aku baik sangat dan penyayang,Positive
245,partner aku selalu ignore aku,Negative
246,tak ada masalah besar antara kami,Neutral
247,partner aku baik sangat dan penyayang,Positive
248,aku rasa stressed dalam relationship ni,Negative
249,tak ada masalah besar antara kami,Neutral
250,bf aku sangat caring dan selalu support aku,Positive
251,aku rasa stressed dalam relationship ni,Negative
252,relationship kami okay je,Neutral
253,partner aku selalu buat aku happy,Positive
254,partner aku selalu ignore aku,Negative
255,aku tak pasti status relationship ni,Neutral
256,aku rasa dihargai dalam relationship ni,Positive
257,kami tak serasi langsung,Negative
258,kami just go with the flow,Neutral
259,he always makes me smile,Positive
260,dia selalu marah tanpa sebab,Negative
261,relationship kami okay je,Neutral
262,saya rasa sangat disayangi oleh dia,Positive
263,dia selalu marah tanpa sebab,Negative
264,relationship kami okay je,Neutral
265,aku rasa dihargai dalam relationship ni,Positive
266,relationship ni toxic sangat,Negative
267,kami just go with the flow,Neutral
268,relationship kami sangat sihat dan bahagia,Positive
269,dia selalu marah tanpa sebab,Negative
270,tak ada isu besar setakat ni,Neutral
271,partner aku baik sangat dan penyayang,Positive
272,aku rasa sangat penat dengan relationship ni,Negative
273,kami biasa biasa sahaja,Neutral
274,relationship kami sangat sihat dan bahagia,Positive
275,partner aku selalu ignore aku,Negative
276,relationship kami okay je,Neutral
277,aku sangat selesa dengan dia,Positive
278,aku rasa stressed dalam relationship ni,Negative
279,relationship kami okay je,Neutral
280,dia sangat understanding dengan aku,Positive
281,kami selalu bergaduh tiap hari,Negative
282,relationship kami okay je,Neutral
283,aku sangat selesa dengan dia,Positive
284,kami tak serasi langsung,Negative
285,tak ada isu besar setakat ni,Neutral
286,kami selalu communicate dengan baik,Positive
287,aku rasa sangat penat dengan relationship ni,Negative
288,relationship kami okay je,Neutral
289,kami selalu communicate dengan baik,Positive
290,dia langsung tak peduli perasaan aku,Negative
291,aku tak pasti status relationship ni,Neutral
292,partner aku selalu buat aku happy,Positive
293,dia pentingkan diri sendiri,Negative
294,tak ada masalah besar antara kami,Neutral
295,he always makes me smile,Positive
296,dia selalu marah tanpa sebab,Negative
297,tak ada masalah besar antara kami,Neutral
298,aku sangat selesa dengan dia,Positive
299,partner aku selalu ignore aku,Negative
300,neutral je sekarang,Neutral
301,aku sangat selesa dengan dia,Positive
302,kami selalu bergaduh tiap hari,Negative
303,neutral je sekarang,Neutral
304,partner aku selalu buat aku happy,Positive
305,dia selalu marah tanpa sebab,Negative
306,neutral je sekarang,Neutral
307,aku sangat selesa dengan dia,Positive
308,aku rasa stressed dalam relationship ni,Negative
309,aku masih cuba faham dia,Neutral
310,relationship kami sangat sihat dan bahagia,Positive
311,partner aku selalu ignore aku,Negative
312,aku masih cuba faham dia,Neutral
313,he always makes me smile,Positive
314,relationship ni toxic sangat,Negative
315,tak terlalu rapat tapi okay,Neutral
316,saya rasa sangat disayangi oleh dia,Positive
317,relationship ni toxic sangat,Negative
318,kami just go with the flow,Neutral
319,dia sangat understanding dengan aku,Positive
320,dia langsung tak peduli perasaan aku,Negative
321,relationship kami okay je,Neutral
322,partner aku baik sangat dan penyayang,Positive
323,dia pentingkan diri sendiri,Negative
324,neutral je sekarang,Neutral
325,partner aku selalu buat aku happy,Positive
326,dia langsung tak peduli perasaan aku,Negative
327,tak ada isu besar setakat ni,Neutral
328,he always makes me smile,Positive
329,aku rasa stressed dalam relationship ni,Negative
330,relationship ni stabil je,Neutral
331,saya rasa sangat disayangi oleh dia,Positive
332,aku rasa lonely walaupun ada partner,Negative
333,tak ada masalah besar antara kami,Neutral
334,he always makes me smile,Positive
335,aku rasa lonely walaupun ada partner,Negative
336,relationship ni stabil je,Neutral
337,saya rasa sangat disayangi oleh dia,Positive
338,kami tak serasi langsung,Negative
339,tak ada isu besar setakat ni,Neutral
340,relationship kami sangat sihat dan bahagia,Positive
341,dia pentingkan diri sendiri,Negative
342,tak ada isu besar setakat ni,Neutral
343,bf aku sangat caring dan selalu support aku,Positive
344,aku rasa stressed dalam relationship ni,Negative
345,relationship ni stabil je,Neutral
346,partner aku selalu buat aku happy,Positive
347,aku rasa sangat penat dengan relationship ni,Negative
348,relationship ni stabil je,Neutral
349,partner aku selalu buat aku happy,Positive
350,dia langsung tak peduli perasaan aku,Negative
351,tak ada isu besar setakat ni,Neutral
352,saya rasa sangat disayangi oleh dia,Positive
353,relationship ni toxic sangat,Negative
354,relationship ni stabil je,Neutral
355,aku sangat selesa dengan dia,Positive
356,partner aku selalu ignore aku,Negative
357,aku masih cuba faham dia,Neutral
358,he always makes me smile,Positive
359,relationship ni toxic sangat,Negative
360,tak ada isu besar setakat ni,Neutral
361,partner aku baik sangat dan penyayang,Positive
362,relationship ni toxic sangat,Negative
363,relationship kami okay je,Neutral
364,partner aku selalu buat aku happy,Positive
365,dia selalu marah tanpa sebab,Negative
366,relationship ni stabil je,Neutral
367,bf aku sangat caring dan selalu support aku,Positive
368,kami selalu bergaduh tiap hari,Negative
369,aku masih cuba faham dia,Neutral
370,saya rasa sangat disayangi oleh dia,Positive
371,relationship ni toxic sangat,Negative
372,aku tak pasti status relationship ni,Neutral
373,partner aku baik sangat dan penyayang,Positive
374,aku rasa stressed dalam relationship ni,Negative
375,tak terlalu rapat tapi okay,Neutral
376,kami selalu communicate dengan baik,Positive
377,kami selalu bergaduh tiap hari,Negative
378,tak ada masalah besar antara kami,Neutral
379,partner aku selalu buat aku happy,Positive
380,aku rasa sangat penat dengan relationship ni,Negative
381,tak ada isu besar setakat ni,Neutral
382,bf aku sangat caring dan selalu support aku,Positive
383,aku rasa lonely walaupun ada partner,Negative
384,neutral je sekarang,Neutral
385,kami selalu communicate dengan baik,Positive
386,aku rasa sangat penat dengan relationship ni,Negative
387,tak terlalu rapat tapi okay,Neutral
388,saya rasa sangat disayangi oleh dia,Positive
389,kami selalu bergaduh tiap hari,Negative
390,relationship ni stabil je,Neutral
391,dia sangat understanding dengan aku,Positive
392,kami selalu bergaduh tiap hari,Negative
393,aku masih cuba faham dia,Neutral
394,he always makes me smile,Positive
395,partner aku selalu ignore aku,Negative
396,tak ada masalah besar antara kami,Neutral
397,dia sangat understanding dengan aku,Positive
398,aku rasa stressed dalam relationship ni,Negative
399,tak terlalu rapat tapi okay,Neutral
400,aku sangat selesa dengan dia,Positive
401,aku rasa sangat penat dengan relationship ni,Negative
402,kami biasa biasa sahaja,Neutral
403,saya rasa sangat disayangi oleh dia,Positive
404,aku rasa sangat penat dengan relationship ni,Negative
405,tak terlalu rapat tapi okay,Neutral
406,bf aku sangat caring dan selalu support aku,Positive
407,aku rasa sangat penat dengan relationship ni,Negative
408,aku masih cuba faham dia,Neutral
409,aku rasa dihargai dalam relationship ni,Positive
410,partner aku selalu ignore aku,Negative
411,relationship ni stabil je,Neutral
412,saya rasa sangat disayangi oleh dia,Positive
413,dia langsung tak peduli perasaan aku,Negative
414,tak terlalu rapat tapi okay,Neutral
415,bf aku sangat caring dan selalu support aku,Positive
416,kami tak serasi langsung,Negative
417,kami biasa biasa sahaja,Neutral
418,he always makes me smile,Positive
419,kami tak serasi langsung,Negative
420,aku masih cuba faham dia,Neutral
421,relationship kami sangat sihat dan bahagia,Positive
422,partner aku selalu ignore aku,Negative
423,kami biasa biasa sahaja,Neutral
424,bf aku sangat caring dan selalu support aku,Positive
425,partner aku selalu ignore aku,Negative
426,tak terlalu rapat tapi okay,Neutral
427,dia sangat understanding dengan aku,Positive
428,relationship ni toxic sangat,Negative
429,tak ada masalah besar antara kami,Neutral
430,relationship kami sangat sihat dan bahagia,Positive
431,aku rasa lonely walaupun ada partner,Negative
432,tak ada isu besar setakat ni,Neutral
433,aku rasa dihargai dalam relationship ni,Positive
434,aku rasa stressed dalam relationship ni,Negative
435,aku masih cuba faham dia,Neutral
436,bf aku sangat caring dan selalu support aku,Positive
437,dia langsung tak peduli perasaan aku,Negative
438,relationship ni stabil je,Neutral
439,saya rasa sangat disayangi oleh dia,Positive
440,dia pentingkan diri sendiri,Negative
441,relationship ni stabil je,Neutral
442,bf aku sangat caring dan selalu support aku,Positive
443,dia langsung tak peduli perasaan aku,Negative
444,neutral je sekarang,Neutral
445,aku rasa dihargai dalam relationship ni,Positive
446,aku rasa lonely walaupun ada partner,Negative
447,aku masih cuba faham dia,Neutral
448,aku rasa dihargai dalam relationship ni,Positive
449,dia pentingkan diri sendiri,Negative
450,tak ada isu besar setakat ni,Neutral
451,partner aku selalu buat aku happy,Positive
452,dia selalu marah tanpa sebab,Negative
453,neutral je sekarang,Neutral
454,he always makes me smile,Positive
455,relationship ni toxic sangat,Negative
456,relationship kami okay je,Neutral
457,aku rasa dihargai dalam relationship ni,Positive
458,kami selalu bergaduh tiap hari,Negative
459,tak ada isu besar setakat ni,Neutral
460,kami selalu communicate dengan baik,Positive
461,partner aku selalu ignore aku,Negative
462,aku masih cuba faham dia,Neutral
463,aku rasa dihargai dalam relationship ni,Positive
464,dia langsung tak peduli perasaan aku,Negative
465,aku masih cuba faham dia,Neutral
466,aku sangat selesa dengan dia,Positive
467,aku rasa lonely walaupun ada partner,Negative
468,tak ada masalah besar antara kami,Neutral
469,relationship kami sangat sihat dan bahagia,Positive
470,aku rasa stressed dalam relationship ni,Negative
471,relationship ni stabil je,Neutral
472,aku rasa dihargai dalam relationship ni,Positive
473,aku rasa lonely walaupun ada partner,Negative
474,tak terlalu rapat tapi okay,Neutral
475,relationship kami sangat sihat dan bahagia,Positive
476,aku rasa stressed dalam relationship ni,Negative
477,aku tak pasti status relationship ni,Neutral
478,he always makes me smile,Positive
479,dia selalu marah tanpa sebab,Negative
480,tak terlalu rapat tapi okay,Neutral
481,saya rasa sangat disayangi oleh dia,Positive
482,dia pentingkan diri sendiri,Negative
483,neutral je sekarang,Neutral
484,relationship kami sangat sihat dan bahagia,Positive
485,dia selalu marah tanpa sebab,Negative
486,tak ada isu besar setakat ni,Neutral
487,bf aku sangat caring dan selalu support aku,Positive
488,relationship ni toxic sangat,Negative
489,relationship ni stabil je,Neutral
490,he always makes me smile,Positive
491,dia selalu marah tanpa sebab,Negative
492,neutral je sekarang,Neutral
493,aku sangat selesa dengan dia,Positive
494,aku rasa lonely walaupun ada partner,Negative
495,kami just go with the flow,Neutral
496,partner aku baik sangat dan penyayang,Positive
497,kami tak serasi langsung,Negative
498,kami biasa biasa sahaja,Neutral
499,kami selalu communicate dengan baik,Positive
500,kami tak serasi langsung,Negative
501,aku tak pasti status relationship ni,Neutral
502,partner aku selalu buat aku happy,Positive
503,relationship ni toxic sangat,Negative
504,tak ada isu besar setakat ni,Neutral
505,aku sangat selesa dengan dia,Positive
506,aku rasa lonely walaupun ada partner,Negative
507,tak ada masalah besar antara kami,Neutral
508,he always makes me smile,Positive
509,relationship ni toxic sangat,Negative
510,kami biasa biasa sahaja,Neutral
511,he always makes me smile,Positive
512,aku rasa sangat penat dengan relationship ni,Negative
513,relationship kami okay je,Neutral
514,bf aku sangat caring dan selalu support aku,Positive
515,partner aku selalu ignore aku,Negative
516,kami just go with the flow,Neutral
517,aku sangat selesa dengan dia,Positive
518,dia langsung tak peduli perasaan aku,Negative
519,kami just go with the flow,Neutral
520,aku rasa dihargai dalam relationship ni,Positive
521,dia pentingkan diri sendiri,Negative
522,kami biasa biasa sahaja,Neutral
523,aku rasa dihargai dalam relationship ni,Positive
524,kami tak serasi langsung,Negative
525,tak terlalu rapat tapi okay,Neutral
526,he always makes me smile,Positive
527,aku rasa sangat penat dengan relationship ni,Negative
528,relationship kami okay je,Neutral
529,partner aku selalu buat aku happy,Positive
530,dia selalu marah tanpa sebab,Negative
531,kami biasa biasa sahaja,Neutral
532,saya rasa sangat disayangi oleh dia,Positive
533,aku rasa stressed dalam relationship ni,Negative
534,kami just go with the flow,Neutral
535,bf aku sangat caring dan selalu support aku,Positive
536,aku rasa stressed dalam relationship ni,Negative
537,kami biasa biasa sahaja,Neutral
538,partner aku selalu buat aku happy,Positive
539,kami tak serasi langsung,Negative
540,aku tak pasti status relationship ni,Neutral
541,partner aku baik sangat dan penyayang,Positive
542,aku rasa stressed dalam relationship ni,Negative
543,tak ada isu besar setakat ni,Neutral
544,aku sangat selesa dengan dia,Positive
545,aku rasa lonely walaupun ada partner,Negative
546,kami just go with the flow,Neutral
547,aku sangat selesa dengan dia,Positive
548,aku rasa stressed dalam relationship ni,Negative
549,tak terlalu rapat tapi okay,Neutral
550,kami selalu communicate dengan baik,Positive
551,kami tak serasi langsung,Negative
552,aku tak pasti status relationship ni,Neutral
553,partner aku baik sangat dan penyayang,Positive
554,kami tak serasi langsung,Negative
555,relationship ni stabil je,Neutral
556,he always makes me smile,Positive
557,relationship ni toxic sangat,Negative
558,tak ada isu besar setakat ni,Neutral
559,partner aku baik sangat dan penyayang,Positive
560,partner aku selalu ignore aku,Negative
561,relationship ni stabil je,Neutral
562,partner aku baik sangat dan penyayang,Positive
563,dia langsung tak peduli perasaan aku,Negative
564,relationship ni stabil je,Neutral
565,he always makes me smile,Positive
566,relationship ni toxic sangat,Negative
567,aku masih cuba faham dia,Neutral
568,dia sangat understanding dengan aku,Positive
569,aku rasa stressed dalam relationship ni,Negative
570,tak ada masalah besar antara kami,Neutral
571,saya rasa sangat disayangi oleh dia,Positive
572,aku rasa sangat penat dengan relationship ni,Negative
573,kami biasa biasa sahaja,Neutral
574,aku rasa dihargai dalam relationship ni,Positive
575,aku rasa sangat penat dengan relationship ni,Negative
576,kami biasa biasa sahaja,Neutral
577,partner aku selalu buat aku happy,Positive
578,dia selalu marah tanpa sebab,Negative
579,tak terlalu rapat tapi okay,Neutral
580,dia sangat understanding dengan aku,Positive
581,aku rasa stressed dalam relationship ni,Negative
582,kami just go with the flow,Neutral
583,aku rasa dihargai dalam relationship ni,Positive
584,kami selalu bergaduh tiap hari,Negative
585,kami biasa biasa sahaja,Neutral
586,aku rasa dihargai dalam relationship ni,Positive
587,dia selalu marah tanpa sebab,Negative
588,neutral je sekarang,Neutral
589,bf aku sangat caring dan selalu support aku,Positive
590,dia pentingkan diri sendiri,Negative
591,tak terlalu rapat tapi okay,Neutral
592,partner aku baik sangat dan penyayang,Positive
593,kami selalu bergaduh tiap hari,Negative
594,aku masih cuba faham dia,Neutral
595,relationship kami sangat sihat dan bahagia,Positive
596,dia selalu marah tanpa sebab,Negative
597,tak terlalu rapat tapi okay,Neutral
598,kami selalu communicate dengan baik,Positive
599,aku rasa stressed dalam relationship ni,Negative
600,neutral je sekarang,Neutral
601,he always makes me smile,Positive
602,kami tak serasi langsung,Negative
603,kami biasa biasa sahaja,Neutral
604,relationship kami sangat sihat dan bahagia,Positive
605,dia selalu marah tanpa sebab,Negative
606,kami just go with the flow,Neutral
607,bf aku sangat caring dan selalu support aku,Positive
608,dia selalu marah tanpa sebab,Negative
609,aku masih cuba faham dia,Neutral
610,aku rasa dihargai dalam relationship ni,Positive
611,aku rasa sangat penat dengan relationship ni,Negative
612,kami just go with the flow,Neutral
613,saya rasa sangat disayangi oleh dia,Positive
614,dia pentingkan diri sendiri,Negative
615,tak ada isu besar setakat ni,Neutral
616,bf aku sangat caring dan selalu support aku,Positive
617,dia selalu marah tanpa sebab,Negative
618,neutral je sekarang,Neutral
619,aku sangat selesa dengan dia,Positive
620,kami selalu bergaduh tiap hari,Negative
621,tak ada masalah besar antara kami,Neutral
622,aku rasa dihargai dalam relationship ni,Positive
623,aku rasa sangat penat dengan relationship ni,Negative
624,kami just go with the flow,Neutral
625,saya rasa sangat disayangi oleh dia,Positive
626,kami selalu bergaduh tiap hari,Negative
627,relationship ni stabil je,Neutral
628,aku rasa dihargai dalam relationship ni,Positive
629,aku rasa lonely walaupun ada partner,Negative
630,kami biasa biasa sahaja,Neutral
631,partner aku baik sangat dan penyayang,Positive
632,aku rasa lonely walaupun ada partner,Negative
633,aku masih cuba faham dia,Neutral
634,aku rasa dihargai dalam relationship ni,Positive
635,relationship ni toxic sangat,Negative
636,tak terlalu rapat tapi okay,Neutral
637,relationship kami sangat sihat dan bahagia,Positive
638,dia langsung tak peduli perasaan aku,Negative
639,kami just go with the flow,Neutral
640,bf aku sangat caring dan selalu support aku,Positive
641,aku rasa stressed dalam relationship ni,Negative
642,relationship kami okay je,Neutral
643,dia sangat understanding dengan aku,Positive
644,partner aku selalu ignore aku,Negative
645,tak ada masalah besar antara kami,Neutral
646,bf aku sangat caring dan selalu support aku,Positive
647,kami selalu bergaduh tiap hari,Negative
648,kami biasa biasa sahaja,Neutral
649,he always makes me smile,Positive
650,kami selalu bergaduh tiap hari,Negative
651,neutral je sekarang,Neutral
652,saya rasa sangat disayangi oleh dia,Positive
653,partner aku selalu ignore aku,Negative
654,aku tak pasti status relationship ni,Neutral
655,partner aku baik sangat dan penyayang,Positive
656,dia langsung tak peduli perasaan aku,Negative
657,neutral je sekarang,Neutral
658,he always makes me smile,Positive
659,kami tak serasi langsung,Negative
660,relationship ni stabil je,Neutral
661,dia sangat understanding dengan aku,Positive
662,aku rasa sangat penat dengan relationship ni,Negative
663,neutral je sekarang,Neutral
664,aku sangat selesa dengan dia,Positive
665,dia langsung tak peduli perasaan aku,Negative
666,aku tak pasti status relationship ni,Neutral
667,relationship kami sangat sihat dan bahagia,Positive
668,dia langsung tak peduli perasaan aku,Negative
669,neutral je sekarang,Neutral
670,bf aku sangat caring dan selalu support aku,Positive
671,relationship ni toxic sangat,Negative
672,neutral je sekarang,Neutral
673,aku rasa dihargai dalam relationship ni,Positive
674,dia selalu marah tanpa sebab,Negative
675,kami biasa biasa sahaja,Neutral
676,partner aku selalu buat aku happy,Positive
677,dia pentingkan diri sendiri,Negative
678,kami biasa biasa sahaja,Neutral
679,partner aku selalu buat aku happy,Positive
680,relationship ni toxic sangat,Negative
681,neutral je sekarang,Neutral
682,partner aku selalu buat aku happy,Positive
683,dia pentingkan diri sendiri,Negative
684,relationship kami okay je,Neutral
685,dia sangat understanding dengan aku,Positive
686,aku rasa stressed dalam relationship ni,Negative
687,tak terlalu rapat tapi okay,Neutral
688,dia sangat understanding dengan aku,Positive
